cuisine	types	name	ingredients	difficulty	health_banners	ingredients_parsed
['british']	['afternoon-tea', 'treat']	Rhubarb & custard cake	"[""1quantity Barney's roasted rhubarb (see recipe, below method)"", '250g pack butter, softened, plus extra for greasing', '150g ready-made custard', '250g self-raising flour', '½ tsp baking powder', '4 large eggs', '1 tsp vanilla extract', '250g golden caster sugar', 'icing sugar, for dusting']"	Easy	[]	['quantiti barney roast rhubarb', 'butter soften plus extra greas', 'readi made custard', 'self rais flour', 'bake powder', 'larg egg', 'vanilla extract', 'golden caster sugar', 'ice sugar dust']
['indian']	['dinner', 'lunch', 'main-course', 'side-dish', 'snack', 'supper']	Quick prawn curry	"[""2 tbsp curry paste (we used Patak's Origional Balti curry paste)"", '1 onion, finely sliced', '200g large raw or cooked prawns, defrosted if frozen', '400g can chopped tomatoes  with garlic', 'large bunch coriander, leaves and stalks chopped']"	Easy	['Healthy']	['curri past', 'onion fine slice', 'larg raw cook prawn defrost frozen', 'chop tomato garlic', 'larg bunch coriand leaf stalk chop']
['indian']	['dinner', 'lunch', 'main-course', 'supper']	One-pan prawn pilau	"[""2 tbsp korma  curry paste  (Patak's is good)"", '1 small onion, finely chopped', '300g basmati rice, rinsed and drained', '700ml chicken stock  made from a cube', '150g pack cooked peeled prawns, defrosted if frozen', 'cupful frozen  peas', '1 red chilli, sliced into rings', 'handful  coriander  leaves, chopped', 'lemon  wedges, to serve']"	Easy	[]	['korma curri past', 'small onion fine chop', 'basmati rice rins drain', 'chicken stock made', 'cook peel prawn defrost frozen', 'cup frozen pea', 'red chilli slice ring', 'hand coriand leaf chop', 'lemon wedg serv']
['french']	['dinner', 'main-course', 'supper']	Pork cassoulet	"[""4 tbsp fat (lard if you’re budgeting, goose or duck fat if you're not)"", '350g assorted pork, diced (a mixture of bacon, sausage and diced pork works well)', '1 large onion, halved and sliced', '10 fat garlic cloves, peeled', '1 carrot, thinly sliced', '1 tsp fennel seeds', '2 tbsp red wine vinegar', '600ml stock', '1 tbsp tomato purée', '2 rosemary stalks, leaves picked and chopped', 'handful of parsley, finely chopped', '400g can haricot or cannellini beans, drained', 'few tbsp fresh or dried breadcrumbs', 'drizzle of oil, whatever you have', 'crusty bread, to serve', 'green vegetables, to serve']"	Easy	['Freezable']	['fat', 'assort pork dice', 'larg onion halv slice', 'fat garlic clove peel', 'carrot thin slice', 'fennel seed', 'red wine vinegar', 'stock', 'tomato puré', 'rosemari stalk leaf pick chop', 'hand parsley fine chop', 'haricot cannellini bean drain', 'fresh dri breadcrumb', 'drizzl oil whatev', 'crusti bread serv', 'green veget serv']
['british']	['afternoon-tea', 'snack', 'treat']	Raspberry & apple crumble squares	['1 Bramley apple, peeled and diced', '100g butter, softened', '175g golden caster sugar', '1 egg', '280g self-raising flour', '125ml milk', '200g raspberries', '50g butter, diced', '85g self-raising flour', '100g golden caster sugar', 'zest 1 lemon']	Easy	[]	['bramley appl peel dice', 'butter soften', 'golden caster sugar', 'egg', 'self rais flour', 'milk', 'raspberri', 'butter dice', 'self rais flour', 'golden caster sugar', 'zest lemon']
	['breakfast', 'brunch']	Two-minute breakfast smoothie	['1 banana', '1 tbsp porridge oats', '80g soft fruit (whatever you have – strawberries, blueberries, and mango all work well)', '150ml milk', '1 tsp honey', '1 tsp vanilla extract']	Easy	['Vegetarian']	['banana', 'porridg oat', 'soft fruit', 'milk', 'honey', 'vanilla extract']
['british']	['dinner', 'lunch', 'snack', 'soup', 'supper']	Pea & mint soup	['1 bunch spring onions, trimmed and roughly chopped', '1 medium potato, peeled and diced', '1 garlic clove, crushed', '850ml vegetable or chicken stock', '900g young pea  in the pod (to give about 250g/9oz shelled peas)', '4tbsp chopped fresh mint', 'large pinch caster sugar', '1 tbsp fresh lemon  or lime juice', '150ml buttermilk  or soured cream']	Easy	['Freezable', 'Healthy', 'Vegetarian']	['bunch spring onion trim rough chop', 'medium potato peel dice', 'garlic clove crush', 'veget chicken stock', 'young pea pod', 'chop fresh mint', 'larg caster sugar', 'fresh lemon lime juic', 'buttermilk sour cream']
	['dinner', 'supper']	Squash & halloumi flatbreads with sweet chilli beetroot jam	['1 butternut squash', '2 tbsp olive oil', '1 tsp smoked paprika', '225g halloumi', '100g baby spinach leaves', '1 small  cooked beetroot (about 125g)', '3 tbsp brown sugar', '1 tbsp white wine vinegar', '1 tsp red chilli flakes', '1 tsp cumin seeds', '300g self-raising flour, plus extra for dusting', '150-200g yogurt']	Easy	['Freezable', 'Vegetarian']	['butternut squash', 'oliv oil', 'smoke paprika', 'halloumi', 'babi spinach leaf', 'small cook beetroot', 'brown sugar', 'white wine vinegar', 'red chilli flake', 'cumin seed', 'self rais flour plus extra dust', 'yogurt']
['italian']	['dinner', 'main-course']	Simple squash risotto	['1 butternut squash', '4 tbsp light olive oil', '600ml vegetable stock', '50g unsalted butter', '1 small onion, finely chopped', '1 celery stick, finely chopped', '2 garlic cloves, crushed', '1 bay leaf', '1 tsp fresh thyme leaves, picked', '140g risotto rice (we like carnaroli)', '100ml white wine', '50g parmesan (or vegetarian alternative), finely grated ']	Easy	['Vegetarian']	['butternut squash', 'light oliv oil', 'veget stock', 'unsalt butter', 'small onion fine chop', 'celeri fine chop', 'garlic clove crush', 'bay leaf', 'fresh thyme leaf pick', 'risotto rice', 'white wine', 'parmesan fine grate']
['british']	['lunch', 'soup']	Butternut squash soup	['1 butternut squash, about 1kg, peeled and deseeded', '2 tbsp olive oil', '1 tbsp butter', '2 onions, diced', '1 garlic clove, thinly sliced', '2 mild red chillies, deseeded and finely chopped', '850ml hot vegetable stock', '4 tbsp crème fraîche, plus more to serve']	Easy	['Freezable', 'Vegetarian']	['butternut squash peel deseed', 'oliv oil', 'butter', 'onion dice', 'garlic clove thin slice', 'mild red chilli deseed fine chop', 'hot veget stock', 'crème fraîch plus serv']
	['dinner', 'main-course', 'supper']	Mexican chicken burger	['1 chicken breast', '1 tsp chipotle paste', '1 lime, juiced', '1-2 slices cheese', '1 brioche bun, split', '½ avocado', '2 cherry tomatoes, chopped', '3-4 pickled jalapeño slices, chopped', '½ small garlic clove, finely grated']	Easy	[]	['chicken breast', 'chipotl past', 'lime juic', 'slice chees', 'brioch bun split', 'avocado', 'cherri tomato chop', 'pickl jalapeño slice chop', 'small garlic clove fine grate']
	['dinner', 'lunch', 'soup', 'starter']	Chicken & sweetcorn soup	['1 chicken carcass', '4 thin slices fresh ginger, plus 1 tbsp finely grated', '2 onions, quartered', '3 garlic cloves, finely grated', '2 tsp apple cider vinegar', '325g can sweetcorn', '3 spring onions, whites thinly sliced, greens sliced at an angle', '100g cooked chicken, shredded', '2 tsp tamari', '2 eggs, beaten', 'few drops sesame oil, to serve (optional)']	Easy	['Gluten-free', 'Healthy', 'High-protein']	['chicken carcass', 'thin slice fresh ginger plus fine grate', 'onion quarter', 'garlic clove fine grate', 'appl cider vinegar', 'sweetcorn', 'spring onion white thin slice green slice angl', 'cook chicken shred', 'tamari', 'egg beaten', 'drop sesam oil serv']
	['dinner', 'main-course']	Peanut butter chicken curry	['1 large  chicken, jointed, or 1.5kg bone-in chicken pieces', '6 garlic cloves, 2 finely chopped, 4 left whole', '3 lemongrass stalks, bashed and roughly chopped', 'thumb-sized piece of  ginger, peeled and finely chopped', '1 tbsp ground  cumin', '1 tbsp ground  coriander', '1 tbsp ground  turmeric', '2 limes, juiced', '2 red chillies, 1 roughly chopped and 1 sliced to serve (optional)', '1 small  onion, roughly chopped', '2 tbsp vegetable oil', '100g smooth peanut butter', '4 tbsp kecap manis, or 3 tbsp soy sauce mixed with 1 tbsp light brown soft sugar', '400g can  coconut milk', 'a few  spring onions, chopped', 'small handful of  coriander, chopped', 'small handful of roasted  peanuts, roughly chopped (optional)']	Easy	['Freezable', 'Gluten-free']	['larg chicken joint bone chicken piec', 'garlic clove fine chop left', 'lemongrass stalk bash rough chop', 'thumb size ginger peel fine chop', 'ground cumin', 'ground coriand', 'ground turmer', 'lime juic', 'red chilli rough chop slice serv', 'small onion rough chop', 'veget oil', 'smooth peanut butter', 'kecap mani soy sauc mix light brown soft sugar', 'coconut milk', 'spring onion chop', 'small hand coriand chop', 'small hand roast peanut rough chop']
	['breakfast', 'brunch', 'lunch']	Chorizo & halloumi breakfast baguette	"['1 large avocado', '1 lime, juiced', '1 red onion, halved and thinly sliced', 'drizzle of oil', '150g chorizo, sliced on an angle', '250g block halloumi, sliced into 8 pieces', '1 large baguette or 2 smaller ones', 'small bunch coriander, leaves picked', '400g can chopped tomatoes', ""red chilli, finely chopped (deseeded if you don't want much spice)"", 'thumb-sized piece ginger, grated', '1 star anise', '250g caster sugar', '150ml red wine vinegar']"	Easy	[]	['larg avocado', 'lime juic', 'red onion halv thin slice', 'drizzl oil', 'chorizo slice angl', 'block halloumi slice piec', 'larg baguett smaller one', 'small bunch coriand leaf pick', 'chop tomato', 'red chilli fine chop', 'thumb size ginger grate', 'star anis', 'caster sugar', 'red wine vinegar']
['mediterranean']	['buffet', 'dinner', 'lunch', 'main-course', 'snack']	Tuna, asparagus & white bean salad	['1 large bunch asparagus', '2 x cans tuna steaks in water, drained', '2 x cans cannellini beans in water, drained', '1 red onion, very finely chopped', '2 tbsp capers', '1 tbsp olive oil', '1 tbsp red wine vinegar', '2 tbsp tarragon, finely chopped']	Easy	['Dairy-free', 'Gluten-free', 'Healthy', 'Low calorie', 'Low fat']	['larg bunch asparagus', 'can tuna steak water drain', 'can cannellini bean water drain', 'red onion fine chop', 'caper', 'oliv oil', 'red wine vinegar', 'tarragon fine chop']
		Butternut squash & sage macaroni cheese	['1 large butternut squash, deseeded and cut into chunks', '2 tsp olive oil, plus a drizzle', '1 onion, finely chopped', '15 sage leaves, 6 finely chopped', '85g butter', '85g plain flour', '2 tsp English mustard powder', '1l semi-skimmed milk', '250g pack extra mature or mature cheddar, grated', '50g parmesan (or vegetarian alternative), finely grated', '450g macaroni']	Easy	['Freezable', 'Vegetarian']	['larg butternut squash deseed cut chunk', 'oliv oil plus drizzl', 'onion fine chop', 'sage leaf fine chop', 'butter', 'plain flour', 'english mustard powder', 'semi skim milk', 'extra matur matur cheddar grate', 'parmesan fine grate', 'macaroni']
	['side-dish']	Whole baked cauliflower cheese	['1 large cauliflower (about 1kg)', '50g unsalted butter', '50g plain flour', 'large pinch of sweet smoked paprika', '600ml whole milk', '2 tsp English mustard', '170g mature cheddar, gruyère, comté or a mixture', '½ bunch of chives, finely chopped']	Easy	['Vegetarian']	['larg cauliflow', 'unsalt butter', 'plain flour', 'larg sweet smoke paprika', 'milk', 'english mustard', 'matur cheddar gruyèr comté mixtur', 'bunch chive fine chop']
['british']	['side-dish']	Cauliflower cheese	['1 large cauliflower (leaves cut off), broken into pieces', '500ml milk', '4 tbsp flour', '50g butter', '100g strong cheddar, grated', '2-3 tbsp breadcrumbs, if you have them']	Easy	['Vegetarian']	['larg cauliflow broken piec', 'milk', 'flour', 'butter', 'strong cheddar grate', 'breadcrumb']
['italian']	['dinner', 'main-course', 'supper']	Baked cauliflower pizzaiola	['1 large cauliflower, cut into 8 wedges', '2 tbsp olive oil, plus 1 tbsp for roasting', '600g ripe tomatoes (we used a mixture of red and yellow cherry tomatoes), halved or quartered depending on their size', '6 unpeeled garlic cloves, bashed', 'small pack basil', '½ small pack fresh oregano, or ½ tsp dried', 'pinch of chilli flakes', '4 tbsp dry white wine', '2 tbsp vegetarian Italian-style hard cheese', '3 tbsp breadcrumbs', '125g mozzarella (check the pack for a vegetarian brand), torn', 'crusty bread, to serve', 'green salad, to serve']	Easy	['Vegetarian']	['larg cauliflow cut wedg', 'oliv oil plus roast', 'ripe tomato halv quarter depend size', 'unpeel garlic clove bash', 'small basil', 'small fresh oregano dri', 'chilli flake', 'dri white wine', 'vegetarian italian style hard chees', 'breadcrumb', 'mozzarella torn', 'crusti bread serv', 'green salad serv']
	['dinner', 'side-dish']	Next-level cauliflower cheese	['1 large cauliflower, cut into large florets', '2 tbsp olive oil', 'pinch of cayenne pepper', '40g vegetarian Italian-style hard cheese finely grated', '50g butter', '40g plain flour', '600ml whole milk', '1 tsp mustard powder or English mustard', '1 tsp yeast extract (optional)', '150g extra mature cheddar, most grated, some cubed', 'grating of  nutmeg', '3 tbsp  dried breadcrumbs (panko work well)', '2 tbsp crispy onions']	Easy	['Vegetarian']	['larg cauliflow cut larg floret', 'oliv oil', 'cayenn pepper', 'vegetarian italian style hard chees fine grate', 'butter', 'plain flour', 'milk', 'mustard powder english mustard', 'yeast extract', 'extra matur cheddar grate cube', 'grate nutmeg', 'dri breadcrumb', 'crispi onion']
