type	url	number
afternoon-tea	https://www.bbcgoodfood.com/search?mealType=afternoon-tea	1266
breads	https://www.bbcgoodfood.com/search?mealType=breads	2
breakfast	https://www.bbcgoodfood.com/search?mealType=breakfast	641
brunch	https://www.bbcgoodfood.com/search?mealType=brunch	541
buffet	https://www.bbcgoodfood.com/search?mealType=buffet	1168
canapes	https://www.bbcgoodfood.com/search?mealType=canapes	298
cheese-course	https://www.bbcgoodfood.com/search?mealType=cheese-course	10
cocktails	https://www.bbcgoodfood.com/search?mealType=cocktails	242
condiment	https://www.bbcgoodfood.com/search?mealType=condiment	348
dessert	https://www.bbcgoodfood.com/search?mealType=dessert	2656
dinner	https://www.bbcgoodfood.com/search?mealType=dinner	7421
drink	https://www.bbcgoodfood.com/search?mealType=drink	518
fish-course	https://www.bbcgoodfood.com/search?mealType=fish-course	132
lunch	https://www.bbcgoodfood.com/search?mealType=lunch	3725
main-course	https://www.bbcgoodfood.com/search?mealType=main-course	5193
pasta	https://www.bbcgoodfood.com/search?mealType=pasta	322
side-dish	https://www.bbcgoodfood.com/search?mealType=side-dish	2208
snack	https://www.bbcgoodfood.com/search?mealType=snack	1549
soup	https://www.bbcgoodfood.com/search?mealType=soup	328
starter	https://www.bbcgoodfood.com/search?mealType=starter	1110
supper	https://www.bbcgoodfood.com/search?mealType=supper	3195
treat	https://www.bbcgoodfood.com/search?mealType=treat	1732
vegetable	https://www.bbcgoodfood.com/search?mealType=vegetable	301
flatbreads	https://www.bbcgoodfood.com/search?mealType=flatbreads	1
picnic	https://www.bbcgoodfood.com/search?mealType=picnic	1
side	https://www.bbcgoodfood.com/search?mealType=side	4
